time,setpoint,measured_position,error,raw_voltage,voltage_command
0.000000,90.000000,0.012451,90.000000,18.451538,12.000000
0.001000,90.000000,0.048920,89.987549,18.451721,12.000000
0.002000,90.000000,0.108017,89.951080,18.446976,12.000000
0.003000,90.000000,0.188446,89.891983,18.437592,12.000000
0.004000,90.000000,0.288986,89.811554,18.423843,12.000000
0.005000,90.000000,0.408478,89.711014,18.405960,12.000000
0.006000,90.000000,0.545837,89.591522,18.384186,12.000000
0.007000,90.000000,0.700027,89.454163,18.358749,12.000000
0.008000,90.000000,0.870087,89.299973,18.329849,12.000000
0.009000,90.000000,1.055099,89.129913,18.297699,12.000000
0.010000,90.000000,1.254211,88.944901,18.262466,12.000000
0.011000,90.000000,1.466599,88.745789,18.224350,12.000000
0.012000,90.000000,1.691513,88.533401,18.183502,12.000000
0.013000,90.000000,1.928223,88.308487,18.140076,12.000000
0.014000,90.000000,2.176056,88.071777,18.094223,12.000000
0.015000,90.000000,2.434372,87.823944,18.046082,12.000000
0.016000,90.000000,2.702560,87.565628,17.995789,12.000000
0.017000,90.000000,2.980072,87.297440,17.943466,12.000000
0.018000,90.000000,3.266357,87.019928,17.889221,12.000000
0.019000,90.000000,3.560913,86.733643,17.833176,12.000000
0.020000,90.000000,3.863251,86.439087,17.775421,12.000000
0.021000,90.000000,4.172943,86.136749,17.716064,12.000000
0.022000,90.000000,4.489563,85.827057,17.655182,12.000000
0.023000,90.000000,4.812698,85.510437,17.592880,12.000000
0.024000,90.000000,5.141983,85.187302,17.529221,12.000000
0.025000,90.000000,5.477066,84.858017,17.464294,12.000000
0.026000,90.000000,5.817612,84.522934,17.398178,12.000000
0.027000,90.000000,6.163315,84.182388,17.330917,12.000000
0.028000,90.000000,6.513870,83.836685,17.262589,12.000000
0.029000,90.000000,6.869003,83.486130,17.193253,12.000000
0.030000,90.000000,7.228439,83.130997,17.122986,12.000000
0.031000,90.000000,7.591949,82.771561,17.051819,12.000000
0.032000,90.000000,7.959274,82.408051,16.979797,12.000000
0.033000,90.000000,8.330215,82.040726,16.906998,12.000000
0.034000,90.000000,8.704559,81.669785,16.833435,12.000000
0.035000,90.000000,9.082108,81.295441,16.759171,12.000000
0.036000,90.000000,9.462677,80.917892,16.684235,12.000000
0.037000,90.000000,9.846100,80.537323,16.608673,12.000000
0.038000,90.000000,10.232208,80.153900,16.532501,12.000000
